,title,address,huxing,BuildingArea,Position,Direction,BuildingTime,SubwayDistance,price_total,price_square,price_dy,labels
0,富世广场 红星路42电梯房 146卖 通燃气 两室,富世广场 黄山大厦-宿州路与红星路交口东南,1室2厅,63,中层（共29层）,北向,2012年建,2,146,23174,,"满二,优质教育"
1,"相府花园 步行街相府花园,三室两厅房东急售",相府花园 市府广场-淮河路118号,3室1厅,91,高层（共7层）,南向,2000年建,2,195,21381,6,满五
2,海伦国际 4.5米挑高精装修2室送空调 1号线会展中心,滨湖海伦堡 新省府-滨湖海伦堡锦绣大道湖北路交口,2室1厅,46,高层（共30层）,南向,尤传燕,1,45,9782,,"满两年,好房推荐,精装"
3,滨湖区 招商城市主场 央企开发商 4.5米精装复式两房1号线,招商城市主场(公寓) 新省府-招商城市主场(公寓),2室1厅,55,高层（共26层）,南向,2022年建,,56,10181,,
4,美菱新村 2室1厅64.65m2满五,美菱新村 双岗-双岗濉溪路桥旁,2室1厅,64,低层（共7层）,南向,2000年建,,95,14694,,"满五,优质教育"
5,文昌雅居 3室2厅1厨1卫 114.18m2 精致装修,文昌雅居 周谷堆-淝河路与周谷堆路交口,3室2厅,114,低层（共28层）,南向,2011年建,,150,13137,,"满二,优质教育"
6,文一云湖轩 董铺湖景房 南北向精装修 纯洋房 四季花海旁,文一云湖轩 大铺头-科学岛路与石牛路交口,3室1厅,111,底层（共11层）,南北向,陈彪,,260,23423,,
7,钢铁新村 2室1厅43.45m2 交通便利 生活社区齐全,钢铁二村 合瓦路-临泉路与合瓦路交汇处,2室1厅,43,高层（共6层）,南向,1992年建,3,60,13808,,满五
8,墨荷名邸 3室2厅98m2精装修,墨荷名邸 森林公园-北二环与四里河路交叉口向西300米,3室2厅,98,高层（共34层）,南北向,2008年建,,169,17244,,
9,恒大中央广场 3室2厅93m2精装修,恒大中央广场 汽车站-明光路和胜利路交叉口,3室2厅,93,中层（共27层）,南向,2000年建,1,240,25806,,满五
10,滨湖瑞园北区 2室2厅104m2精装修,滨湖瑞园 新省府-紫云路交武汉路,2室2厅,104,低层（共18层）,南向,2011年建,1,195,18750,,
11,保利拉菲公馆 2室1厅80m2精装修,保利拉菲公馆 高速滨湖时代广场-四川路与武汉路交口西北角,2室1厅,80,中层（共31层）,南向,2012年建,5,225,28125,8,"满二,优质教育"
12,滨湖金融板块 首付17万左右买4.5米挑高复式现房 5号线旁,华润昆仑御公寓 金融中心-贵州路与成都路交口,2室1厅,41,底层（共9层）,南北向,2020年建,5,37,9024,,"满两年,好房推荐,精装"
13,融创长江壹号 3室2厅98.16m2精装修,融创长江壹号 杏林花园-北二环与颍上路交口,3室2厅,98,低层（共23层）,南向,2019年建,3,236,24042,,
14,滨湖品阁 2室2厅93m2满五年,滨湖品阁 四十六中-滨湖新区紫云路与西藏路交口,2室2厅,93,顶层（共24层）,南向,2007年建,,288,30967,26,"满五,优质教育"
15,义仓巷 1室0厅29.5m2满五年,义仓巷小区 百花井-义仓巷,1室0厅,29,顶层（共6层）,南向,1986年建,2,88,29830,,满五
16,宝湾国际 5.4米挑高现房 全景飘窗 配套设施齐全 8号线旁,宝湾国际公寓 双凤庐阳工业园-淮南路与天水路交口向北500米,3室1厅,66,中层（共18层）,南向,尤传燕,,54,8181,,"满两年,好房推荐,精装"
17,"西环中心广场北区 2室1厅,简装,诚售。",西环中心广场 黄岳路口-潜山路与黄山路交汇处,2室1厅,84,中层（共27层）,南向,2005年建,3,185,22023,,优质教育
18,正南香格里拉花园3室2厅精装修,香格里拉花园 临泉东路-临泉路合家福购物广场旁,3室2厅,89,高层（共33层）,南向,2008年建,3,115,12912,,"满五,优质教育"
19,正南长虹世纪荣廷3室2厅,长虹世纪荣廷 瑶海工业园-铜陵北路与天水路交口向东100米,3室2厅,92,低层（共33层）,南向,2017年建,,125,13506,14,"满二,优质教育"
20,香江世纪名城2室2厅精装修,香江世纪名城 花冲公园-临泉路与泗洲路交汇处,2室2厅,82,低层（共25层）,东向,2006年建,2,115,14005,,"满五,优质教育"
21,长江东路2号线地铁口 城建琥珀名城 3室2厅 精装修,城建琥珀名城 龙岗-长江东路金泰气配城对面,3室2厅,110,底层（共6层）,南向,2009年建,2,145,13181,16,"满二,优质教育"
22,正南中海城3室2厅企业推荐房源,中海城 撮镇-新安江路与大众路交口向南600米,3室2厅,89,中层（共27层）,南向,2019年建,,135,15168,4,
23,正南金辉优步大道3室2厅,金辉优步大道 龙岗-新安江路与大众路交汇处,3室2厅,99,中层（共18层）,南向,2022年建,,155,15656,,
24,正南恒盛豪庭2室2厅精装修,恒盛豪庭 市二院-东一环全椒路和长江东大街交汇处东南角,2室2厅,89,高层（共34层）,南向,2012年建,2,248,27623,,"满二,优质教育"
25,正南金辉优步大道3室2厅精装修,金辉优步大道 龙岗-新安江路与大众路交汇处,3室2厅,98,中层（共15层）,南向,2022年建,,158,16043,,
26,正南碧桂园·正荣悦玺3室2厅,碧桂园·正荣悦玺 瑶海工业园-包公大道与烈山路交口北500米西侧,3室2厅,94,中层（共24层）,南向,2019年建,,148,15734,,满二
27,龙湖·龙誉城 三室两厅全新房未住人 采光不错 环境好,龙湖·龙誉城 撮镇-新安江路与大众路交叉口,3室2厅,103,中层（共17层）,南向,2021年建,2,160,15463,7,
28,一环内38中 水上园小区 3室2厅 精装修,水上园小区 和平广场-瑶海区屯溪路22号,3室2厅,75,低层（共6层）,南向,1999年建,1,145,19253,,"满五,优质教育"
29,和平路 栢景轩 3室2厅,栢景轩 合钢-南陵路与和平路交汇处,3室2厅,90,中层（共6层）,南向,2007年建,,163,17965,,满二
30,电梯房 中间楼层 宝业城市绿苑北区 3室1厅,宝业城市绿苑北区 曙光影院-合裕路与铜陵路交叉口,3室1厅,101,中层（共30层）,南向,2014年建,,165,16224,,满二
31,正南恒润河畔雅居2室2厅,"恒润河畔雅居 龙岗-临泉路与牡丹路交汇,龙岗保养场",2室2厅,80,低层（共6层）,南向,2008年建,2,78,9750,15,"满二,优质教育"
32,高档次新小区 全新豪华中式精装修 海尔智慧公馆 3室2厅,海尔地产智慧公馆 长江批发市场-长江东路与郎溪路交口东200米,3室2厅,105,中层（共28层）,南向,2015年建,2,220,20758,,"满二,优质教育"
33,正南风景苑3室1厅企业推荐房源,风景苑 临泉东路-临泉路安徽大市场东合家福超市旁,3室1厅,89,高层（共6层）,南向,2007年建,3,95,10674,14,"满五,优质教育"
34,正南金辉优步大道3室2厅,金辉优步大道 龙岗-新安江路与大众路交汇处,3室2厅,89,高层（共18层）,南向,2022年建,,126,14157,9,
35,正南 金成港湾 3室2厅 精装修,金成港湾 生态公园-北二环路与当涂北路交叉口西北角,3室2厅,88,中层（共26层）,南向,2012年建,3,135,15340,,满二
36,正南龙湖·龙誉城3室2厅,龙湖·龙誉城 撮镇-新安江路与大众路交叉口,3室2厅,94,低层（共18层）,南向,2020年建,2,152,16106,,
37,南北通透 恒盛豪庭 4室2厅 精装修,恒盛豪庭 市二院-东一环全椒路和长江东大街交汇处东南角,4室2厅,146,中层（共31层）,南向,2012年建,2,360,24513,21,"满二,优质教育"
38,南北通透 安粮双景佳苑 2室2厅,安粮双景佳苑 瑶海公园-铜陵北路与二环路交叉口向北500米,2室2厅,89,低层（共18层）,南北向,2008年建,3,108,12040,,"满五,优质教育"
39,南北通透 风景苑 3室2厅 精装修,风景苑 临泉东路-临泉路安徽大市场东合家福超市旁,3室2厅,89,中层（共6层）,南北向,2007年建,3,112,12567,,"满二,优质教育"
40,正南金辉优步大道4室2厅,金辉优步大道 龙岗-新安江路与大众路交汇处,4室2厅,118,中层（共8层）,南向,2023年建,,235,19883,,
41,东方樾府 三室两厅 精装修拎包即住 环境好 看房方便,东方樾府 龙塘-撮镇镇瑶岗路与东风大道交口西南角,3室2厅,89,低层（共30层）,东向,2020年建,,135,15033,,
42,中海城3室2厅企业推荐房源,中海城 撮镇-新安江路与大众路交口向南600米,3室2厅,89,中层（共24层）,东向,韩贵珍,,120,13464,14,
43,南北通透万达华府3室2厅豪华装修,万达华府 临泉东路-临泉东路与和县路交叉口东西两侧,3室2厅,124,低层（共25层）,南北向,2017年建,3,278,22289,,"满二,优质教育"
